name_supermarkt,address,lat,long,key_words,codes,postal_code,url2,urls,place,popularity_percent_normal
Migros Supermarkt,"Unterdorfstrasse 7, Dbendorf",47.39826,8.617614999999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJzVpqLgqhmkcRluWrtRCHgbw,8600,https://filialen.migros.ch/de/migros-supermarkt-duebendorf,https://maps.google.com/?cid=13583286456963294614,_cid=13583286456963294614,50.86111111111112
Coop Supermarkt Dbendorf Center,"Adlerstrasse 1, Dbendorf",47.3976122,8.616562199999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJEze0YgmhmkcRAjYFmnktLZ4,8600,https://www.coop.ch/de/standorte/coop-supermarkt-duebendorf-center/1509_POS,https://maps.google.com/?cid=11397816232242918914,_cid=11397816232242918914,51.782051282051285
Migros Supermarkt,"Im Zentrum 2, Oberengstringen",47.40861109999999,8.4633333,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJc-rMuIMLkEcRLdI7PqxaPUk,8102,https://filialen.migros.ch/de/migros-supermarkt-oberengstringen,https://maps.google.com/?cid=5277474034173071917,_cid=5277474034173071917,58.263888888888886
Coop Supermarkt Oberengstringen,"Zrcherstrasse 149, Oberengstringen",47.4105615,8.457950199999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJnWMsaIALkEcR7H77SiaMUJA,8102,https://www.coop.ch/de/standorte/coop-supermarkt-oberengstringen/1257_POS,https://maps.google.com/?cid=10398965635693117164,_cid=10398965635693117164,60.01190476190476
Coop Supermarket,"Frankentalerstrasse 20, Zrich",47.4058702,8.4814171,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJfVT3iKELkEcRoIeBfxOeBNY,8049,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-bombach/4853_POS,https://maps.google.com/?cid=15421624830604183456,_cid=15421624830604183456,48.28089887640449
Coop Supermarkt Zrich ETH Hnggerberg,"Wolfgang-Pauli-Strasse 14, Zrich",47.4083915,8.507961,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJRw4SNB0LkEcRYhmPPYIP6qk,8049,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-eth-hoenggerberg/4851_POS,https://maps.google.com/?cid=12243615589013068130,_cid=12243615589013068130,37.69117647058823
Spar Supermarkt,"Regensbergstrasse 300, Zrich",47.41156429999999,8.5279268,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJSdpvmPQKkEcRVBkh0ZlVz2U,8050,https://www.spar.ch/,https://maps.google.com/?cid=7336176437136791892,_cid=7336176437136791892,54.0
Aksa Food Hngg AG,"Wehntalerstrasse 280, Zrich",47.4111762,8.5263727,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJmZBlYvQKkEcRyH-Vq7NwjfU,8046,http://www.aksafood.ch/,https://maps.google.com/?cid=17693922427988705224,_cid=17693922427988705224,55.263888888888886
ALDI Zrich,"Baumackerstrasse 35, Zrich",47.4089051,8.5435926,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ4WVSVoYKkEcRmOW3387iN80,8050,https://www.aldi-suisse.ch/de/,https://maps.google.com/?cid=14787537279638824344,_cid=14787537279638824344,59.256410256410255
Migros Supermarkt,"Einkaufszentrum Neumarkt, Hofwiesenstrasse 350, Zrich",47.4106139,8.5428081,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJsbyGDYYKkEcReDOVUIRlDJI,8050,https://filialen.migros.ch/de/migros-supermarkt-zuerich-oerlikon-neumarkt,https://maps.google.com/?cid=10523898048220050296,_cid=10523898048220050296,56.30555555555556
